belongs_to_collection,budget,genres,id,imdb_id,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
,0,"[{'id': 18, 'name': 'Drama'}]",11177,tt0089560,en,A boy with a massive facial skull deformity and biker gang mother attempts to live as normal a life as possible under the circumstances.,6.012125,/gAeyhf3xCcwS339aiWE2DG7rMgA.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/8/85,42400000,120,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They told 16 year old Rocky Dennis he could never be like everyone else. So he was determined to be better.,Mask,7,106
,0,"[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",18196,tt0076683,en,"A commitment-shy New York fashion model moves into an old brownstone apartment, meets her weird neighbours and discovers she’s sitting on the gateway to Hell.",3.811799,/axPc6emYx5fIkIpRvPhizlf8mzB.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/7/77,3,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,She's living in the gateway to hell.,The Sentinel,6.3,53
,0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]",70345,tt0070622,en,"David, a college student, is looking for a job. He is hired by Dr. Stoner as a lab assistant for his research and experiments on snakes. David also begins to fall for Stoner's young daughter, Kristina. However, the good doctor has secretly brewed up a serum that can transform any man into a King Cobra snake-and he plans to use it on David.",2.283113,/aaNnSCBzPsPjg3z7nHVTuMtPU7A.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Zanuck/Brown Productions', 'id': 1865}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/6/73,0,99,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Terror is ready to strike!,Sssssss,5.9,19
,0,"[{'id': 27, 'name': 'Horror'}]",42215,tt0079450,en,"Sam Elliott and Katharine Ross star as architects brought to a secluded estate by an eccentric millionaire. They and other guests become trapped, leading to a series of grisly deaths which point to a supernatural…",2.309037,/Zqb4O0Z1Zhv69ZDUdeVlcwI83L.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",9/1/78,0,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It is a birthright of living death...,The Legacy,5.3,19
,2700000,"[{'id': 35, 'name': 'Comedy'}]",55457,tt0077714,en,If they missed Beatles' first appearance in the U.S.A. they would hate themselves for the rest of their lives! So six young girls from New Jersey set off even though they don't have tickets for the show! The journey is full of surprises and misfortunes but the young ladies are determined to reach their idols.,2.186882,/yuPe0Cu6Zl3CyOVcOvLNYTqGFOC.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/20/78,0,104,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Some girls will do anything to meet their idols.,I Wanna Hold Your Hand,6.5,29
,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",1677,tt0350258,en,"Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered couping gospel and country together.",10.603762,/fPDsBL0MdegEvyPhim9b5srHOqG.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Bristol Bay Productions', 'id': 2233}, {'name': 'Baldwin Entertainment Group', 'id': 2234}, {'name': 'Anvil Films', 'id': 8833}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/29/04,124731534,152,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The extraordinary life story of Ray Charles.,Ray,7.2,481
"{'id': 8936, 'name': 'Bridget Jones Collection', 'poster_path': '/fB3BE3TL85Wh7dxNJf226IYQCp.jpg', 'backdrop_path': '/jiS4x140miaEH524CAFTvuxrcZ1.jpg'}",50000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",9801,tt0317198,en,"Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life.",7.78817,/fs3nGIwSBk9H8EcuPtnj7qQrYj2.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Studio Canal', 'id': 5870}, {'name': 'Working Title Films', 'id': 10163}, {'name': 'Atlantic Television', 'id': 11357}, {'name': 'Little Bird', 'id': 11358}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'IE', 'name': 'Ireland'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",11/10/04,40203020,108,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Same Bridget. Brand new diary.,Bridget Jones: The Edge of Reason,6.1,775
"{'id': 259401, 'name': 'The Invisible Man (Universal Series)', 'poster_path': '/fK4kwiFZ7fGzYMkUa826KGSPriF.jpg', 'backdrop_path': '/k5xCUEzPzNkiMmd7gkIGCo4VB8W.jpg'}",0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",28421,tt0032635,en,"The owner of a coal mining operation, falsely imprisoned for fratricide, takes a drug to make him invisible, despite its side effect: gradual madness.",1.360563,/fa9csCs1SdmMDGKiGfbwtQenBMT.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1/12/40,0,81,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Invisible Man Returns,6.3,17
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",18987,tt0014142,en,"Hunchback's story revolves around a beautiful gypsy dancer, Esmeralda (Patsy Ruth Miller) and the men in the life. Esmeralda's possessive guardian is Clopin, King of the Beggars (Ernest Torrence). He is willing to barter her to advance his interests and those of his impoverished followers. She loves and is loved in turn by Phoebus de Chateaupers (Norman Kerry) a cavalier of King Louis XI (Tully Marshall). Esmeralda is also the obsessive object of Jehan (Brandon Hurst) the villainous brother of Dom Claudio (Nigel De Brulier) the cathedral's saintly Archdeacon. And she is adored by Quasimodo, the grotesque bellringer of Notre Dame for her kindness to him after an unjust flogging. During a tender moment between the dancer and the soldier, the jealous Jehan stabs Phoebus. Esmeralda is accused of the crime, tortured and sentenced to hang. Workmen from the cathedral stop laboring to enjoy her public execution, the following day, while Quasimodo watches in horror.",1.469045,/eVhmfpV790uR4QSPptpFL8wt7Np.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/6/23,0,113,[],Released,,The Hunchback of Notre Dame,6.4,24
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",964,tt0016220,en,"A grotesquely disfigured composer known as the ""Phantom"" haunts Paris' opera house, where he's secretly grooming Christine Daae to be an opera diva. Luring her to his underground lair, the Phantom declares his love. But Christine loves Raoul de Chagny and plans to elope with him after her next performance. When the Phantom finds out, he abducts Christine, incurring the wrath of Raoul -- and a horde of rabid Parisians.",11.083684,/itfhSxbIgsan85iY1NrquIx7qxo.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/6/25,0,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The greatest horror film of modern cinema!,The Phantom of the Opera,7,78
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",27517,tt0019130,en,"Gwynplaine, son of Lord Clancharlie, has a permanent smile carved on his face by the King, in revenge for Gwynplaine's father's treachery. Gwynplaine is adopted by a travelling showman and becomes a popular idol. He falls in love with the blind Dea. The king dies, and his evil jester tries to destroy or corrupt Gwynplaine.",2.571104,/8eVqvmUFRPp7nXrxVVcVYJ5pfbN.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/27/28,0,110,[],Released,,The Man Who Laughs,7.4,32
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]",31592,tt0023293,en,"Seeking shelter from a pounding rainstorm in a remote region of Wales, several travellers are admitted to a gloomy, foreboding mansion belonging to the extremely strange Femm family. Trying to make the best of it, the guests must deal with their sepulchral host, Horace Femm and his obsessive, malevolent sister Rebecca. Things get worse as the brutish manservant Morgan gets drunk and runs amok.",5.962386,/tWEnxzRpDKpDMo3b7rZNDxMzrPB.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/20/32,0,72,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Old Dark House,6.7,46
,0,"[{'id': 27, 'name': 'Horror'}]",24106,tt0024894,en,American honeymooners in Hungary are trapped in the home of a Satan-worshiping priest when the bride is taken there for medical help following a road accident.,8.053913,/nEg3B0YySjSgoJCntuPzYKNOzGm.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/7/34,0,65,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Things you never said before nor even dreamed of!,The Black Cat,6.5,54
,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",47921,tt0025301,en,A widow and her housekeeper go into business together but almost lose their daughters.,1.473452,/kqymXLeKSb8YWQdMiv3nfQjfP2v.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",11/26/34,0,111,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Claudette Colbert at her finest in Imitation of Life,Imitation of Life,6.1,17
,0,"[{'id': 27, 'name': 'Horror'}, {'id': 80, 'name': 'Crime'}]",17907,tt0026912,en,"The Raven (1935) is a horror film directed by Lew Landers. It revolves around Edgar Allan Poe's famous poem, featuring Béla Lugosi as a Poe-obsessed mad surgeon with a torture chamber in his basement and Boris Karloff as a fugitive murderer desperately on the run from the police.",2.114251,/aLEerxJK57q4ddKy945H2lC3I8g.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",7/8/35,0,61,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Released,,The Raven,6.8,29
"{'id': 259027, 'name': 'The Wolf Man (Universal Series)', 'poster_path': '/bYvHmIKqSnUYyjFhabzNliS2qu1.jpg', 'backdrop_path': '/8DcHcYH0P9de2j8HPRYq9wXNaIf.jpg'}",0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",27970,tt0027194,en,A strange animal attack turns a botanist into a bloodthirsty monster.,8.579045,/ruROQAVMXvLLBkvM7OqB9IlLbCo.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/13/35,0,75,"[{'iso_639_1': 'la', 'name': 'Latin'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,Beware the Stalking Being - Half-Human - Half-Beast!,Werewolf of London,6.4,32
,0,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",31548,tt0028249,en,"Despite her mother's objections, the naive young daughter of a show boat captain is thrust into the limelight as the company's new leading lady.",0.606441,/4bFWkw7AWWcR0RQgqbfeJZ24bf4.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/17/36,0,113,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,HEAR Glorious New Music and Songs by Jerome Kern and Oscar Hammerstein II:,Show Boat,7.5,4
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",33523,tt0033754,en,"Popular crooner Russ Raymond abandons his career at its peak and joins the Navy using an alias, Tommy Halstead. However, Dorothy Roberts, a reporter, discovers his identity and follows him in the hopes of photographing him and revealing his identity to the world. Aboard the Alabama, Tommy meets up with Smoky and Pomeroy, who help hide him from Dorothy, who hatches numerous schemes in an attempt to photograph Tommy/Russ being a sailor.",1.499739,/6oSuCWxdH4QGUZzok9DZAEOUi0I.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/30/41,0,86,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"THE FLEET'S ALL IN...Since Those Riotous ""Buck Privates"" Abbott and Costello Joined Up!",In the Navy,6.2,8
,0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",33112,tt0033766,en,"A young man asks a hat check girl to pose as his fiancée in order to make his dying father's last moments happy. However, the old man's health takes a turn for the better and now his son doesn't know how to break the news that he's engaged to someone else, especially since his father is so taken with the impostor.",1.865744,/afEmGEKHAzdVPTFUZUO2gpbrmbS.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",9/26/41,0,90,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Most Romantic Riot Since Eve Gave Adam the Applesauce!,It Started with Eve,7.7,6
,0,"[{'id': 35, 'name': 'Comedy'}]",28789,tt0033945,en,"Never Give a Sucker an Even Break is a 1941 film about a man who wants to sell a film story to Esoteric Studios. On the way he gets insulted by little boys, beat up for ogling a woman, and abused by a waitress. W. C. Fields' last starring role in a feature-length film.",0.263047,/bLDqpEDMUlkarmyEbyOaoxJ5OoU.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",10/10/41,0,71,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Never Give a Sucker an Even Break,7.2,3
,0,"[{'id': 18, 'name': 'Drama'}]",946,tt0040536,en,"A pianist about to flee from a duel receives a letter from a woman he cannot remember. As she tells the story of her lifelong love for him, he is forced to reinterpret his own past.",2.955531,/vseTA4tAg3am75CCuAJGTPNWsM.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Rampart Productions', 'id': 605}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/28/48,0,87,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Letter from an Unknown Woman,8.1,58
,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",20482,tt0040636,en,"The Naked City portrays the police investigation that follows the murder of a young model. A veteran cop is placed in charge of the case and he sets about, with the help of other beat cops and detectives, finding the girl's killer.",3.826672,/39RjTKSU9z7HDD5qKujZ6YgMlLJ.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Universal International Pictures (UI)', 'id': 10330}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",3/4/48,0,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The soul of a city. Her glory stripped! Her passion bared!,The Naked City,7.2,67
,0,"[{'id': 37, 'name': 'Western'}]",27277,tt0062472,en,"An ex-con seeks revenge on the man who put him in prison by planning a robbery of the latter's stagecoach, which is transporting gold. He enlists the help of a partner, who could be working for his nemesis.",3.874603,/jEWv3nWrK7K9MQq1ggLtVwU2IkS.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Batjac Productions', 'id': 2532}, {'name': 'Marvin Schwartz Productions', 'id': 8425}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",5/27/67,6000000,96,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The War Wagon Rolls And The Screen Explodes!,The War Wagon,6.6,36
,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",14801,tt0064177,en,"Forbin is the designer of an incredibly sophisticated computer that will run all of America's nuclear defenses. Shortly after being turned on, it detects the existence of Guardian, the Soviet counterpart, previously unknown to US Planners. Both computers insist that they be linked, and after taking safeguards to preserve confidential material, each side agrees to allow it. As soon as the link is established the two become a new Super computer and threaten the world with the immediate launch of nuclear weapons if they are detached. Colossus begins to give its plans for the management of the world under its guidance. Forbin and the other scientists form a technological resistance to Colossus which must operate underground.",3.363154,/1qpa9Y5GWbd6uNPTHr3vqQSfYS1.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",4/8/70,0,100,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,This is the dawning of the Age of Colossus (where peace is compulsory... freedom is forbidden... and Man's greatest invention could be Man's greatest mistake).,Colossus: The Forbin Project,7.1,50
